Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website,Industries
Pure EV,2024-02-19,660000000,Series A,https://www.linkedin.com/company/pureevindia,https://www.pureev.in,AI
Haber,2024-12-11,6000000,Debt Financing,https://www.linkedin.com/company/haber-technologies,https://www.haberwater.com,AI
Scrut Automation,2024-04-02,10000000,Private Equity,https://www.linkedin.com/company/scrut-automation,https://www.scrut.io,AI
Orange Health Labs,2024-12-06,12000000,Venture - Series Unknown,https://www.linkedin.com/company/orange-health,https://www.orangehealth.in,AI
Bhanzu,2024-11-11,16500000,Series B,https://www.linkedin.com/company/bhanzu,https://bhanzu.com,AI
Battery Smart,2024-06-11,65000000,Series B,https://www.linkedin.com/company/batterysmart,https://www.batterysmart.in,AI
Uniqus Consultech,2024-04-18,10000000,Series B,https://www.linkedin.com/company/uniqus-consultech,https://www.uniqus.com,AI
Digantara,2024-02-27,155400000,Series A,https://www.linkedin.com/company/digantara/,https://www.digantara.co.in/,AI
CoRover,2024-09-24,334000000,Series A,https://www.linkedin.com/company/corover,https://CoRover.ai,AI
The Good Bug,2024-10-15,200000000,Series A,https://www.linkedin.com/company/the-good-bug,https://thegoodbug.com,AI
Billion Hearts,2024-11-20,330000000,Seed,https://www.linkedin.com/company/billion-hearts-software-technologies,https://www.billionhearts.co,AI
SatSure,2024-04-02,,Series A,https://www.linkedin.com/company/satsure,https://satsure.co,AI
CredAble,2024-06-12,300000000,Debt Financing,https://www.linkedin.com/company/credable.in,https://www.credable.in,AI
Moneyview,2024-09-12,386400000,Venture - Series Unknown,https://www.linkedin.com/company/money-view/,https://moneyview.in,AI
Ecofy,2024-01-24,900000000,Debt Financing,https://linkedin.com/company/ecofyfinance,https://www.ecofy.co.in,AI
AstroTalk,2024-06-03,783000000,Series A,https://www.linkedin.com/company/astrotalk-online-astrology-predictions/,https://astrotalk.com/,AI
AppsForBharat,2024-09-10,1510000000,Series B,https://www.linkedin.com/company/appsforbharat,https://appsforbharat.com,AI
dezerv.,2024-07-09,2650000000,Series B,https://www.linkedin.com/company/dezerv-in,https://www.dezerv.in,AI
Solinas Integrity,2024-05-28,,Venture - Series Unknown,https://www.linkedin.com/company/solinasin,https://solinas.in,AI
Qure AI,2024-06-25,65000000,Series D,https://www.linkedin.com/company/qure.ai,https://qure.ai,AI
Even,2024-10-23,30000000,Series A,https://www.linkedin.com/company/even-healthcare/,https://even.in,AI
Vidyut,2024-02-20,,Debt Financing,https://www.linkedin.com/company/vidyuttech/,https://www.vidyuttech.com/,AI
GlobalBees,2024-02-06,1500000000,Debt Financing,https://www.linkedin.com/company/globalbees/,https://www.globalbees.com/,AI
abCoffee,2024-03-08,281000000,Series A,https://www.linkedin.com/company/abcoffee-india,https://abcoffee.in,AI
Scimplifi,2024-08-01,9500000,Series A,https://www.linkedin.com/company/scimplifi,https://www.scimplifi.com,AI
Finarkein Analytics,2024-08-27,4750000,Seed,https://www.linkedin.com/company/finarkein/,https://finarkein.com,AI
SkinInspired,2024-07-15,122500000,Seed,https://www.linkedin.com/company/skininspired/,https://skininspired.in,AI
Nurix AI,2024-09-24,27500000,Seed,https://www.linkedin.com/company/nurixai,https://www.nurix.ai,AI
Yoho,2024-10-15,270000000,Series B,https://in.linkedin.com/company/yoholifestyle,https://yoholife.in,AI
Sprinto,2024-04-09,20000000,Series B,https://www.linkedin.com/company/sprinto-com,https://www.sprinto.com,AI
Lendingkart,2024-06-03,1000000000,Debt Financing,https://www.linkedin.com/company/lendingkart,https://www.lendingkart.com,AI
Ecozen,2024-05-06,240000000,Venture - Series Unknown,http://in.linkedin.com/company/ecozen-solutions,https://ecozensolutions.com,AI
Awign,2024-07-05,24500000,Series C,https://www.linkedin.com/company/awign-enterprises,https://www.awign.com,AI
Lissun,2024-09-30,200000000,Seed,https://www.linkedin.com/company/lissun,https://www.lissun.app/,AI
BigHaat,2024-02-07,695000000,Series C,https://www.linkedin.com/company/bighaat-india,https://www.bighaat.com,AI
Fourth Partner Energy,2024-08-06,275000000,Private Equity,https://www.linkedin.com/company/fourth-partner-energy-private-limited,https://fourthpartner.co,AI
Matter,2024-06-26,826000000,Series B,https://www.linkedin.com/company/matterindia,https://matter.in,AI
Foxtale,2024-06-12,1500000000,Series B,https://www.linkedin.com/company/foxtale-skin/,https://foxtale.in/,AI
Techjockey,2024-09-19,74000000,Angel,https://www.linkedin.com/company/techjockey,https://www.techjockey.com/,AI
GenWise,2023-04-12,3500000,Seed,https://www.linkedin.com/company/genwiseofficial/,https://www.genwise.club/,AI
Droom,2024-03-21,,Venture - Series Unknown,https://www.linkedin.com/company/droom-in,https://droom.in/,AI
Agrim Wholesale,2024-08-30,17300000,Series B,https://www.linkedin.com/company/agrimwholesale,https://www.agrim.app,AI
Recykal,2024-04-10,1100000000,Series B,https://www.linkedin.com/company/recykal/,https://recykal.com/,AI
G.O.A.T Brand Labs,2024-07-08,1750000000,Venture - Series Unknown,https://www.linkedin.com/company/goatbrandlabs,https://www.goatbrandlabs.com,AI
Kazam,2024-08-11,8000000,Series A,https://www.linkedin.com/company/kazam-ev,https://www.kazam.in,AI
Namma Yatri,2024-07-16,920000000,Seed,https://www.linkedin.com/company/nammayatri,https://nammayatri.in,AI
Osian,2024-03-18,110000000,Seed,https://www.linkedin.com/company/beatovenai,https://www.beatoven.ai/,AI
Renee Cosmetics,2024-07-13,1000000000,Series B,https://www.linkedin.com/company/renee-cosmetics,https://www.reneecosmetics.in,AI
Fresh From Farm,2024-05-02,2000000,Seed,https://www.linkedin.com/company/farmingv2/,https://freshfromfarm.in/,AI
Ambak,2024-10-24,3000000,Seed,https://www.linkedin.com/company/ambakofficial/,https://www.ambak.com/,AI
Beyoung,2024-02-19,,Venture - Series Unknown,https://in.linkedin.com/company/beyoung-in,https://www.beyoung.in,AI
Centricity,2024-09-12,20000000,Seed,https://www.linkedin.com/company/centricity-wealthtech/,https://www.centricity.co.in/,AI
Agrizy,2024-08-05,820000000,Series A,https://www.linkedin.com/company/agrizy,https://agrizy.in,AI
Wealthy,2024-05-30,450000000,Venture - Series Unknown,https://www.linkedin.com/company/wealthy-in,https://www.wealthy.in,AI
SuperKalam,2024-05-22,163000000,Seed,https://www.linkedin.com/company/superkalam/,https://superkalam.com,AI
Explurger,2024-02-14,373000000,Series A,https://www.linkedin.com/company/explurger/,https://www.explurger.com/,AI
Kaleidofin,2024-09-18,1155000000,Venture - Series Unknown,https://www.linkedin.com/company/kaleidofin/,https://kaleidofin.com,AI
Niqo Robotics,2024-05-01,13000000,Series B,https://www.linkedin.com/company/niqorobotics/about/,https://niqorobotics.com/,AI
Traya Health,2024-04-02,750000000,Series A,https://www.linkedin.com/company/trayahealth,https://traya.health,AI
Volt Money,2023-06-20,123000000,Pre-Seed,https://www.linkedin.com/company/voltmoney/about/,https://www.voltmoney.in/,AI
Wiom,2023-07-27,1400000000,Series A,https://www.linkedin.com/company/wiom,https://wiom.in,AI
Segwise,2024-07-18,,Non-equity Assistance,https://www.linkedin.com/company/segwise-ai,https://segwise.ai?utm_source=businessdirectory,AI
Grip Invest,2024-01-09,700000000,Series B,https://www.linkedin.com/company/gripinvest,https://gripinvest.in,AI
Nasher Miles,2024-07-25,328000000,Convertible Note,https://www.linkedin.com/company/nasher-miles,https://www.nashermiles.com,AI
Stan,2024-09-11,184000000,Secondary Market,https://www.linkedin.com/company/getstan,https://getstan.app,AI
Datazip,2024-10-10,84000000,Seed,https://www.linkedin.com/company/datazipio,https://datazip.io/,AI
CheQ Digital,2024-04-27,535000000,Seed,https://www.linkedin.com/company/cheq-one,https://www.cheq.one/,AI
Aquaconnect,2024-01-31,4000000,Series B,https://www.linkedin.com/company/aquaconnect1,https://aquaconnect.blue,AI
Landeed,2024-06-18,,Venture - Series Unknown,https://www.linkedin.com/company/landeed,https://www.landeed.com,AI
Simplismart,2024-07-18,,Non-equity Assistance,https://www.linkedin.com/company/simplismart,https://www.simplismart.ai/,AI
SigTuple,2024-08-06,330000000,Series C,https://www.linkedin.com/company/sigtuple,https://www.sigtuple.com,AI
Wint Wealth,2022-05-20,1120000000,Series A,https://www.linkedin.com/company/wintwealth/mycompany/,https://www.wintwealth.com,AI
LiaPlus AI,2024-09-05,20000000,Seed,https://www.linkedin.com/company/liaplus,https://www.liaplus.com,AI
KheloMore,2024-07-29,2000000,Seed,https://www.linkedin.com/company/khelomore/,https://www.khelomore.com,AI
Dezy,2024-10-08,500000000,Convertible Note,https://www.linkedin.com/company/smilesdotai/,https://www.dezy.com/in,AI
Protean eGov Technologies,2024-05-21,1501600000,Secondary Market,https://www.linkedin.com/company/nsdl_e-gov,https://egov-nsdl.co.in,AI
Vaaree,2024-05-24,207800000,Seed,https://www.linkedin.com/company/vaareehome,https://vaaree.com,AI
Karkhana.io,2024-11-20,,Secondary Market,https://www.linkedin.com/company/karkhana-io/,https://karkhana.io/,AI
Slurrp Farm,2024-01-08,599000000,Series C,https://www.linkedin.com/company/wholsum-foods-pvt-ltd-slurrp-farm/,https://slurrpfarm.com/,AI
FREED,2024-03-13,600000000,Series A,https://www.linkedin.com/company/freeddsc,https://freed.care,AI
ChargeZone,2024-04-30,1600000000,Venture - Series Unknown,https://www.linkedin.com/company/chargezone/,https://www.chargezone.co/,AI
Vayana Network,2024-07-30,1708000000,Series D,https://www.linkedin.com/company-beta/692411/,https://vayana.com/,AI
Wishlink,2024-02-05,7000000,Series A,https://www.linkedin.com/company/shop-wishlink,https://home.wishlink.com,AI
Otipy,2022-03-07,2350000000,Series B,https://www.linkedin.com/company/otipy/,https://www.otipy.com/home,AI
Niro,2024-05-10,4300000,Series B,https://www.linkedin.com/company/niromoney,https://niro.money,AI
Akshayakalpa,2024-01-10,1000000000,Series C,https://www.linkedin.com/company/akshayakalpa,https://akshayakalpa.org,AI
CureBay,2024-01-05,618000000,Series A,https://www.linkedin.com/company/curebay,https://www.curebay.com,AI
5C Network,2024-04-12,255000000,Venture - Series Unknown,https://www.linkedin.com/company/5c-network,https://5cnetwork.com,AI
Fyllo,2024-05-30,330000000,Series A,https://www.linkedin.com/company/fyllo/,https://www.fyllo.in,AI
DrinkPrime,2024-05-15,249777000,Venture - Series Unknown,https://www.linkedin.com/company/10224858/,https://www.drinkprime.in,AI
Eka.Care,2022-07-19,15000000,Series A,https://www.linkedin.com/company/ekacare/about/,https://www.eka.care/,AI
Serentica Renewables,2024-01-08,35000000000,Debt Financing,https://www.linkedin.com/company/serenticaglobal,https://www.serenticaglobal.com,AI
CureSkin,2024-03-13,20000000,Series B,https://www.linkedin.com/company/heallo.ai/,https://cureskin.com,AI
Blitzscale Technologies,2024-08-07,652000000,Series B,https://www.linkedin.com/company/blitzscale/,https://blitzscale.co,AI
